TOTAL,F,MED_E,EUR,LU	33297 p	35133 	33781 	32740 	32180 	31959 	32036 	31468 	30579 	29531 	29454 	28228 	26674 	25304 	22905 	21833 	21072 	20428 	20240 	19870 	18257 
TOTAL,F,MED_E,EUR,LV	6159 	5580 	5016 	4517 	4299 	4107 	4418 	5129 	4560 	3224 	2397 	2015 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,MK	: 	2107 	1944 	1900 	1831 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,MT	13492 	13333 	12582 	11788 	11129 	10520 	10241 	10246 	9716 	9125 	8852 	8407 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,NL	22271 b	20974 	20583 	20418 	20111 	19869 	19956 	19774 	19093 	17778 	16864 	16695 	: 	: 	13547 	13093 	12481 	12035 	12142 	11744 	11152 
TOTAL,F,MED_E,EUR,NO	38627 	40561 	42913 	42167 	39733 	36153 	31909 	33005 	30947 	28324 	27970 	25019 	25889 	26883 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,PL	5807 	5526 	5284 	5131 	5010 	4951 	4342 	5001 	4113 	3467 	3096 	2525 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,PT	8643 	8260 	8109 	8099 	8224 	8255 	8575 	8117 	8001 	7480 	7215 	7091 	6774 	: 	5936 	5580 	5242 	4928 	4808 	4566 	4234 
TOTAL,F,MED_E,EUR,RO	2407 	2254 	2114 	1974 	2029 	2051 	2004 	2144 	1909 	1581 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,RS	2542 	2546 	2386 	2417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,SE	24471 	24674 b	26487 	25813 	24157 	21946 	19215 	20782 	20170 	18473 	17648 	17069 	16906 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,SI	12128 	12148 	11762 	11667 	11891 	11798 	11559 	11660 	10678 	9707 	9144 	8662 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,SK	6901 	6750 	6660 	6630 	6759 	6236 	6009 	5518 	4657 	3862 	3252 	2764 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,TR	: 	3372 	3455 	3409 	3181 	3289 	2721 	3011 	2860 	2656 	2328 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,UK	20706 	20529 	20069 	18222 	18742 b	16728 	16709 	15944 	18475 	20480 	18918 	17936 	: 	: 	17077 	14926 	13374 	13014 	10510 	9894 	10007 
TOTAL,F,MED_E,NAC,AT	23202 	22741 	22712 	21629 	21183 	20949 	20566 	20030 	18838 b	17787 	17480 	17402 	16603 	15275 	14667 	14535 	13983 	13740 	13513 	13678 	13179 
TOTAL,F,MED_E,NAC,BE	21526 	21012 	21189 	20878 	19688 	19380 	18963 	18851 	17592 	17150 	16692 	16081 	15353 	14994 	15081 	14378 	13981 	13734 	13353 	13127 	12863 
TOTAL,F,MED_E,NAC,BG	5952 b	6329 	6375 	5593 	5428 	5504 	5720 	5401 	4167 	2815 	2661 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,CH	46017 	46593 	45893 b	47951 	47031 	45427 	44968 	44452 	42897 	42640 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,CY	13854 	13618 	14186 	15437 	16502 	16580 	15839 	16005 	9134 b	9095 	8202 	7580 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,CZ	207978 	198337 	192746 	188437 	186421 	183912 	182406 	177475 	163603 	150365 	139791 	132337 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,DE	20744 	20238 	19319 	19067 	19137 	18700 	18448 	18219 	17909 	17367 	15403 	16117 	: 	: 	15441 	15086 	14522 	14194 	14061 	13568 	12894 
TOTAL,F,MED_E,NAC,DK	208353 	206913 	204341 	200863 	198768 	197047 b	186713 	183029 	175546 	170521 	164546 	160167 	153999 	151509 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EA	17751.2 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,NAC,EA18	17864.2 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
